Date,port_lump,sp500_lump,world_lump,port_pac,port_pac_contributions,sp500_pac,world_pac
2013-12-31,31734.93948728191,24889.934452884274,22947.55408627357,43987.313810105064,25800.0,43893.343722034806,40809.66410230794
2014-01-31,30554.085329863246,24012.610058743358,22003.788190546133,42792.231645719534,26000.0,42546.18411578317,39331.28177663392
2014-02-28,32086.920126929166,25105.571267496347,23166.354481165443,45203.17746535363,26200.0,44682.72198922779,41609.34315244782
2014-03-31,32051.94135608559,25313.835969869782,23247.99179166801,45206.05976611631,26400.0,45253.39006513689,41955.97282046512
2014-04-30,32104.280927746335,25489.804643456035,23104.301606126322,45399.11453407373,26600.0,45767.968188915576,41896.653152203915
2014-05-31,32901.26408660928,26081.325511856427,23839.067154709388,46749.98935698076,26800.0,47030.06767012832,43429.05513785886
2014-06-30,33865.48619662021,26619.773248055313,24148.200875626662,48290.83869858161,27000.0,48201.001201046805,44192.22253545711
2014-07-31,33668.75599319069,26262.061248404676,23751.032721316355,48118.42552546537,27200.0,47753.284319159065,43665.388120351956
2014-08-31,34786.709587786885,27298.450609601154,24409.67015849812,50025.15713076908,27400.0,49837.789703654475,45076.26849185362
2014-10-31,33826.582614087965,27555.87707281322,23827.153002701878,49241.048314060594,27600.0,50507.763846919814,44200.55958037368
2014-11-30,34323.73512164494,28312.88565852652,24254.119065056213,50427.29031198761,27800.0,52095.30127772875,45192.6029636411
2014-12-31,33663.585001497166,28241.073386630516,23951.0723984046,49708.034596353624,28000.0,52163.1677331307,44827.93732277794
2015-01-31,33185.02506983829,27404.3057363299,23352.79342084764,49061.15291452466,28200.0,50817.601433340125,43908.17065591064
2015-02-28,34815.36390324903,28944.553146391303,24913.656954052418,51833.78115643218,28400.0,53873.78322266639,47042.922878116326
2015-03-31,34401.05377804262,28489.960655274957,24556.028813416877,51416.01161206323,28600.0,53227.6614256848,46567.63570249254
2015-04-30,35302.841790638166,28770.1338315585,24993.880163705515,52676.53268042208,28800.0,53951.107672179285,47597.969561725724
2015-05-31,35263.19290185804,29140.00525946538,25100.831915217732,53124.82545658809,29000.0,54844.707964367626,48001.64686911892
2015-06-30,34523.5306534309,28548.107177904425,24420.192133700333,52292.66975300979,29200.0,53930.69040881707,46900.02345887391
2015-07-31,34358.55026796356,29192.98978454863,25062.82815063857,52735.918341901095,29400.0,55348.94855785042,48334.23341532742
2015-08-31,31974.826081953735,27413.670242913253,23415.64965550556,49318.918929285166,29600.0,52175.417223623044,45357.61227018192
2015-09-30,31022.10934558273,26714.185398369693,22583.60555690218,47999.19764065534,29800.0,51044.11377967446,43945.88959020615
2015-10-31,33653.96922261094,28986.4795031166,24156.372280092386,52379.91566885342,30000.0,55585.898381897925,47206.36780278912
2015-11-30,33603.72840385917,29092.430831859452,24224.022050409476,52640.79243916394,30200.0,55989.07585960073,47538.56894219591
2015-12-31,33005.509673585264,28589.64366330941,23798.798949567285,52077.9419153053,30400.0,55221.44998179494,46904.08746537365
2016-01-31,31068.415993052855,27166.258915695707,22345.566813244237,49121.84471796767,30600.0,52672.1547974666,44239.97119740427
2016-02-29,31163.451889057433,27143.82865661799,22215.63083341785,49456.784792344806,30800.0,52828.66518478363,44182.7226767886
2016-03-31,33357.555986034626,28969.67959349586,23720.157403101308,52912.19050052265,31000.0,56582.22680801201,47374.943815438
2016-04-30,33535.06587249796,29083.858726076476,23973.18279695797,53381.22953892347,31200.0,57005.23616355453,48080.29728397237
2016-05-31,33859.31269929384,29578.61555808086,24168.087549699132,54343.73793021273,31400.0,58174.974406253896,48671.19566960698
2016-06-30,34442.13004123286,29681.425131573662,23987.026264853135,55287.19365539843,31600.0,58577.17941801036,48506.56320935095
2016-07-31,35998.60405801098,30763.950953428415,24983.45214869263,57973.45883932587,31800.0,60913.57647476628,50721.53557750622
2016-08-31,36041.63890281886,30800.79379319795,25066.487900013115,58148.1395489614,32000.0,61186.526439523615,51090.11519531646
2016-09-30,36631.7907596562,30802.57099882691,25139.145748421695,59164.03764703526,32200.0,61390.0569017557,51438.2052612182
2016-10-31,35946.25813774371,30268.55615017261,24606.333532782974,58203.61844338746,32400.0,60525.75606964273,50547.99701038972
2016-11-30,36110.247334297346,31383.595721162263,25018.054554417915,58948.31222404611,32600.0,62955.41686835691,51593.782220241905
2016-12-31,36770.054726674425,32019.804956745487,25537.604289332186,60416.83928640192,32800.0,64431.651051256245,52865.2298748725
