date,strategia,nasdaq
1977-04-15,18944.567763899315,16077.894849011074
1977-04-18,18909.61418293405,16063.24467982216
1977-04-19,18867.88286097267,16051.935110921791
1977-04-20,18934.140138226816,16095.746410006386
1977-04-21,18778.7295657048,16005.9291673601
1977-04-22,18591.19020812208,15889.381627989387
1977-04-25,18388.605866595928,15746.100595215985
1977-04-26,18342.28362729593,15723.088652991371
1977-04-27,18493.34179408433,15835.388642294482
1977-04-28,18551.48021372247,15880.87066252668
1977-04-29,18649.545105413978,15951.415598737329
1977-05-02,18678.521402617316,16010.268068449672
1977-05-03,18781.613122328374,16074.135206832496
1977-05-04,18900.942761828686,16144.6884618958
1977-05-05,18973.451792123054,16188.513339506935
1977-05-06,18965.600081540622,16190.569950873654
1977-05-09,18912.313457599124,16167.563594654108
1977-05-10,19031.30297517611,16234.78452222557
1977-05-11,18948.9692869413,16195.067757604207
1977-05-12,18952.17703191807,16202.137398508095
1977-05-13,19087.571616094803,16277.719492744398
1977-05-16,19204.75851364785,16341.606579787713
1977-05-17,19234.452987993885,16360.377777132964
1977-05-18,19421.065515834893,16456.02175523675
1977-05-19,19376.36822949658,16438.03058148049
1977-05-20,19248.142732374617,16378.258268512876
1977-05-23,18951.003912905024,16236.592160339029
1977-05-24,18788.548351614914,16155.085844698311
1977-05-25,18634.6793523546,16075.246041604189
1977-05-26,18622.740895709856,16073.957057544085
1977-05-27,18534.294672867047,16029.212241131145
1977-05-31,18435.75898109238,15977.778050928497
1977-06-01,18504.586495419066,16023.289434603092
1977-06-02,18479.11003873924,16013.642167859964
1977-06-03,18586.826660799183,16079.214577335924
1977-06-06,18551.484313468853,16066.22423171068
1977-06-07,18562.25021079624,16076.63625023166
1977-06-08,18686.635443790587,16147.229674227694
1977-06-09,18691.100409319053,16154.301201076853
1977-06-10,18825.83253789144,16228.244061485304
1977-06-13,18884.785950126297,16263.738271533157
1977-06-14,19019.90575879483,16334.34281815791
1977-06-15,19001.626343228767,16329.716271916672
1977-06-16,19182.03089409563,16422.061601277357
