date,strat_lordo,strat_netto,nudo3x,ndx1
2017-01-12,120727.52922845182,91781.06752663867,44426.774428855,260350.90202829498
2017-01-13,121840.50226189477,92627.18650041854,44902.18836401791,261290.77193278074
2017-01-17,120723.55584207765,91778.04682667532,44503.96931219899,260529.57785291536
2017-01-18,121435.3433575443,92319.17127806738,44797.833389155916,261114.21199142083
2017-01-19,121101.31349969642,92065.23071343412,44670.84832829045,260878.71684371497
2017-01-20,121870.99968643334,92650.37165295874,44987.45306112935,261506.25802200282
2017-01-23,121934.98087028136,92699.01226867181,45051.50335913773,261641.60539557575
2017-01-24,124249.10292786596,94458.2845257073,45992.32363217853,263474.1592639773
2017-01-25,127659.28718014377,97050.81957663443,47353.205727244975,266084.1605821594
2017-01-26,127954.02682125026,97274.89041678209,47500.76498928955,266371.984632315
2017-01-27,128697.28659327513,97839.9411203127,47805.86964237691,266953.75176052866
2017-01-30,125918.13451315202,95727.13763329771,46728.3324057908,264959.5285762756
2017-01-31,125030.55991575391,95052.37401824375,46382.376276403425,264317.03755579324
2017-02-01,127433.03207253708,96878.81294780498,47356.4888214456,266178.8465644621
2017-02-02,127060.0217636122,96595.23815280704,47216.14956507042,265927.42270038265
2017-02-03,128010.13785294878,97317.54788208623,47595.87669483164,266651.8157828135
2017-02-06,128323.50474228707,97555.77977347652,47769.035984052585,266986.71955264825
2017-02-07,129548.26968512194,98486.88666053847,48263.16742807669,267918.85389929457
2017-02-08,130291.91257077576,99052.2286197427,48559.10098495798,268478.0386400443
2017-02-09,131391.5368942829,99888.19946197509,48993.02941876047,269289.36590341886
2017-02-10,132424.6367723788,100673.59621679358,49399.90076182985,270046.4675787294
2017-02-13,134593.86501280818,102322.71539357053,50251.334109641466,271609.61259899044
2017-02-14,135602.58119548907,103089.57485528168,50657.0613634365,272352.3491611631
2017-02-15,137892.03939480337,104830.0968301252,51557.10806147729,273977.13153818395
2017-02-16,137732.7696471225,104709.0146911941,51503.052864197176,273893.23143416824
2017-02-17,139539.17515385256,106082.30400518271,52201.962347583125,275144.0119307952
2017-02-21,141500.9969765547,107573.74595164994,52963.89309158556,276494.56434866553
2017-02-22,141576.24466465053,107630.95173716119,53002.37408975768,276573.4863530934
2017-02-23,140027.56890888483,106453.5971186646,52412.23683960374,275558.9775187109
2017-02-24,140848.07160885047,107077.3704551406,52731.767794549,276130.8778740129
2017-02-27,141159.29770560074,107313.97484507917,52854.21470197567,276356.5534624578
2017-02-28,139806.63715148563,106285.63747703005,52339.94794618336,275472.1988427031
2017-03-01,144413.43650124545,109787.87896995325,54123.866491775574,278614.7293956966
2017-03-02,142211.76419771946,108114.09474151045,53284.9349816231,277188.20948254236
2017-03-03,142992.42671563706,108707.58025165394,53585.89585840258,277723.01838370605
2017-03-06,141945.17267077597,107911.42303032079,53188.21433888984,277048.9564005359
2017-03-07,141223.45368714642,107362.74834779318,52915.751543277845,276588.8208793294
2017-03-08,141865.00945510817,107850.48029789363,53165.171851003426,277036.30614329915
2017-03-09,142172.4035641251,108084.17148380028,53285.60922285207,277258.43595700775
2017-03-10,143868.9937268704,109373.97553501462,53935.20657679747,278398.05486098764
2017-03-13,144525.49115904636,109873.06663328095,54191.969562342936,278852.83307873807
2017-03-14,143529.25170581916,109115.69239466531,53814.55394019048,278218.5041969733
2017-03-15,146199.99006883288,111146.07618209378,54833.12613968136,279986.81722622464
2017-03-16,145849.58313777213,110879.68522381753,54702.71521880985,279777.9242614319
2017-03-17,145569.53144010357,110666.78064489561,54598.279445030326,279612.9418131173
2017-03-20,145916.54494129296,110930.59180535635,54732.32890127521,279854.83263705537
2017-03-21,139477.4324053309,106035.36512216604,52278.33727555537,275685.3541413517
2017-03-22,142163.2041731409,108077.1778019903,53304.72197823644,277502.4108229777
2017-03-23,141174.62961120484,107325.63066767863,52931.34420830582,276867.43799060426
